Node,N1,N2,N3,N4
1,8,15,18,22
2,3,5,11,29
3,2,13,15,29
4,11,15,22,25
5,2,16,18,29
6,8,20,25,27
7,20,23,26,27
8,1,6,11,23
9,16,21,27,28
10,17,21,26,28
11,2,4,8,14
12,17,19,23,25
13,3,14,17,20
14,11,13,24,25
15,1,3,4,23
16,5,9,22,30
17,10,12,13,28
18,1,5,21,30
19,12,20,21,30
20,6,7,13,19
21,9,10,18,19
22,1,4,16,24
23,7,8,12,15
24,14,22,26,30
25,4,6,12,14
26,7,10,24,27
27,6,7,9,26
28,9,10,17,29
29,2,3,5,28
30,16,18,19,24
